;num reaction;fva reactions;normalFVA_mean;normalFVA_std;fastFVA_mean;fastFVA_std;precompute_time;precompute_time_std;perc;percTemp
e_coli_core;95;62;0.062;0;0.066;0.015;0.016;0;65.26315789;1.064516129
iAB_RBC_283;469;291;0.631;0.005;0.457;0.002;0.06;0.001;62.04690832;0.724247227
iIS312;519;321;0.848;0.01;0.644;0.012;0.07;0.006;61.84971098;0.759433962
iIS312_Amastigote;519;321;0.827;0.012;0.595;0.012;0.069;0.006;61.84971098;0.719467956
iIS312_Epimastigote;519;321;0.861;0.01;0.627;0.01;0.073;0.006;61.84971098;0.728222997
iIS312_Trypomastigote;520;323;0.843;0.004;0.62;0.004;0.073;0.002;62.11538462;0.735468565
iIT341;554;293;1.268;0.005;0.826;0.014;0.094;0.003;52.88808664;0.651419558
iLJ478;652;379;1.741;0.017;1.079;0.008;0.096;0.002;58.12883436;0.619758759
iAF692;690;377;1.718;0.007;1.049;0.01;0.11;0.001;54.63768116;0.610593714
iSB619;743;464;2.225;0.015;1.57;0.008;0.104;0.006;62.44952894;0.705617978
iNF517;754;469;1.943;0.005;1.378;0.015;0.108;0.008;62.20159151;0.709212558
iHN637;785;433;2.154;0.039;1.325;0.011;0.128;0.003;55.15923567;0.615134633
iJB785;849;412;2.604;0.013;1.495;0.012;0.153;0.006;48.52767962;0.574116743
iJN678;863;490;2.604;0.009;1.637;0.018;0.137;0.01;56.77867903;0.628648233
iAT_PLT_636;1008;645;3.82;0.018;2.575;0.029;0.139;0.002;63.98809524;0.67408377
iCN718;1015;724;3.269;0.024;2.525;0.013;0.119;0.007;71.33004926;0.772407464
iNJ661;1025;636;3.574;0.008;2.457;0.015;0.153;0.006;62.04878049;0.687465025
iSynCJ816;1044;653;3.716;0.02;2.54;0.023;0.156;0;62.54789272;0.683530678
iJN746;1054;531;3.055;0.014;1.926;0.014;0.205;0.006;50.37950664;0.630441899
iAM_Pb448;1067;737;4.35;0.011;3.2;0.014;0.131;0.007;69.07216495;0.735632184
iAM_Pc455;1074;738;4.444;0.009;3.246;0.013;0.134;0.008;68.7150838;0.730423042
iJR904;1075;696;4.346;0.054;2.978;0.028;0.152;0.006;64.74418605;0.685227796
iAM_Pv461;1078;739;4.534;0.028;3.278;0.021;0.128;0.006;68.5528757;0.722981914
iAM_Pk459;1079;740;4.602;0.016;3.342;0.024;0.128;0.007;68.58202039;0.726205997
iAM_Pf480;1083;741;4.866;0.01;3.359;0.016;0.133;0.011;68.42105263;0.690300041
iEK1008;1226;719;5.617;0.019;3.647;0.022;0.21;0.008;58.64600326;0.649278975
iCN900;1229;787;5.8;0.021;4.364;0.017;0.189;0.003;64.03580146;0.752413793
