model;reactions;cc;perc;2-cc;max-cc
e_coli_core;95;62;0.652631579;26;4
iAB_RBC_283;469;291;0.620469083;98;16
iIS312;519;321;0.61849711;117;14
iIS312_Amastigote;519;321;0.61849711;117;14
iIS312_Epimastigote;519;321;0.61849711;117;14
iIS312_Trypomastigote;520;323;0.621153846;118;14
iIT341;554;293;0.528880866;122;47
iLJ478;652;379;0.581288344;148;12
iAF692;690;377;0.546376812;138;21
iSB619;743;464;0.624495289;139;28
iNF517;754;469;0.622015915;160;23
iHN637;785;433;0.551592357;158;37
iJB785;849;412;0.485276796;145;134
iJN678;863;490;0.56778679;162;14
iAT_PLT_636;1008;645;0.639880952;176;21
iCN718;1015;724;0.713300493;181;9
iNJ661;1025;636;0.620487805;202;43
iSynCJ816;1044;653;0.625478927;194;14
iJN746;1054;531;0.503795066;224;24
iAM_Pb448;1067;737;0.690721649;180;31
iAM_Pc455;1074;738;0.687150838;182;31
iJR904;1075;696;0.64744186;190;22
iAM_Pv461;1078;739;0.685528757;183;31
iAM_Pk459;1079;740;0.685820204;183;31
iAM_Pf480;1083;741;0.684210526;185;31
iEK1008;1226;719;0.586460033;256;34
iCN900;1229;787;0.640358015;233;23
iYO844;1250;754;0.6032;297;26
iND750;1266;791;0.624802528;292;18
iAF987;1285;773;0.60155642;234;16
iYS854;1455;869;0.597250859;305;22
iMM904;1577;1057;0.670259987;343;10
iPC815;1961;1134;0.57827639;475;9
iRC1080;2191;1620;0.739388407;298;26
iYL1228;2262;1353;0.598143236;512;15
iAF1260;2382;1467;0.615869018;522;15
iAF1260b;2388;1474;0.617252931;522;15
iSDY_1059;2539;1630;0.641985033;560;18
STM_v1_0;2545;1599;0.628290766;543;22
iJO1366;2583;1602;0.620209059;542;18
iSbBS512_1146;2591;1704;0.657661135;552;19
iSBO_1134;2591;1660;0.640679274;552;18
iS_1188;2619;1707;0.651775487;544;18
iSFV_1184;2621;1713;0.653567341;543;18
iSF_1195;2630;1715;0.652091255;544;18
iSFxv_1172;2638;1710;0.648218347;566;18
iSSON_1240;2693;1734;0.643891571;572;18
iECH74115_1262;2694;1746;0.648106904;574;18
iE2348C_1286;2703;1755;0.649278579;567;18
iG2583_1286;2704;1748;0.646449704;580;18
iECED1_1282;2706;1761;0.650776053;568;18
iECSP_1301;2712;1756;0.647492625;579;18
iML1515;2712;1699;0.626474926;567;15
iEC042_1314;2714;1752;0.645541636;574;18
iECNA114_1301;2718;1769;0.65084621;571;18
iECs_1301;2720;1765;0.648897059;579;18
iECIAI39_1322;2721;1784;0.655641308;554;18
iZ_1308;2721;1767;0.649393605;579;18
iUTI89_1310;2725;1781;0.653577982;574;18
ic_1306;2726;1780;0.652971387;575;18
iEC1344_C;2726;1750;0.641966251;585;14
iLF82_1304;2726;1789;0.656272927;568;18
iECOK1_1307;2729;1796;0.658116526;570;18
iECS88_1305;2729;1786;0.65445218;572;18
iECABU_c1320;2731;1782;0.652508239;576;18
iAPECO1_1312;2735;1795;0.65630713;571;18
iNRG857_1313;2735;1796;0.656672761;571;18
iUMN146_1321;2735;1797;0.657038391;570;18
iECP_1309;2739;1792;0.654253377;568;18
iEC1356_Bl21DE3;2740;1764;0.64379562;578;14
iECUMN_1333;2740;1780;0.649635036;579;18
iB21_1397;2741;1773;0.646844217;583;18
iBWG_1329;2741;1758;0.641371762;577;18
iECD_1391;2741;1773;0.646844217;583;18
iECDH10B_1368;2742;1759;0.641502553;578;18
iECSF_1327;2742;1775;0.64733771;570;18
iEcSMS35_1347;2746;1793;0.652949745;579;18
iECB_1328;2748;1778;0.647016012;581;18
iECBD_1354;2748;1782;0.648471616;582;18
iEcDH1_1363;2750;1761;0.640363636;578;18
iEcHS_1320;2753;1770;0.64293498;592;18
iECDH1ME8569_1439;2755;1763;0.639927405;579;18
iEC1349_Crooks;2756;1783;0.646952104;580;11
iEC55989_1330;2756;1782;0.64658926;584;18
iETEC_1333;2756;1777;0.644775036;585;18
iEC1372_W3110;2758;1769;0.641406817;578;14
iECO103_1326;2758;1781;0.645757796;578;18
iY75_1357;2759;1767;0.640449438;580;18
iECO111_1330;2760;1781;0.645289855;588;18
iEcE24377_1341;2763;1795;0.649656171;587;18
iEC1364_W;2764;1774;0.641823444;579;14
iECIAI1_1343;2765;1785;0.64556962;586;18
iEcolC_1368;2768;1789;0.646315029;585;18
iECSE_1348;2768;1785;0.644869942;584;18
iUMNK88_1353;2777;1803;0.649261793;588;18
iEKO11_1354;2778;1793;0.645428366;587;18
iEC1368_DH5a;2779;1791;0.64447643;584;14
iECO26_1355;2780;1800;0.647482014;590;18
iECW_1372;2782;1805;0.648813803;585;18
iWFL_1372;2782;1805;0.648813803;585;18
iJN1463;2927;1747;0.59685685;588;16
iYS1720;3357;1958;0.583258862;730;22
iMM1415;3726;2346;0.62962963;668;38
RECON1;3741;2329;0.622560813;648;38
iCHOv1_DG44;3942;2656;0.67376966;653;56
iLB1027_lipid;4456;3503;0.786131059;316;52
iCHOv1;6663;4793;0.71934564;927;56
Recon3D;10600;7414;0.699433962;1697;28
